filename,label
sjs-ten_Crop-0350_0300sjs-ten-face-41__ProtectWyJQcm90ZWN0Il0_FocusFillWzI5NCwyMjIsIngiLDFd.jpeg,sjs ten
sjs-ten_Crop-0350_0300sjs-ten-face-42__ProtectWyJQcm90ZWN0Il0_FocusFillWzI5NCwyMjIsIngiLDFd.jpeg,sjs ten
vitiligo_Crop-0350_0300poliosis__ProtectWyJQcm90ZWN0Il0_FocusFillWzI5NCwyMjIsInkiLDM2XQ.jpg,vitiligo
vitiligo_Crop-0350_0300vitiligo-08__ProtectWyJQcm90ZWN0Il0_FocusFillWzI5NCwyMjIsIngiLDFd.jpg,vitiligo
vitiligo_Crop-0350_0300vitiligo-15__ProtectWyJQcm90ZWN0Il0_FocusFillWzI5NCwyMjIsIngiLDFd.jpg,vitiligo
vitiligo_Crop-0350_0300vitiligo-29__ProtectWyJQcm90ZWN0Il0_FocusFillWzI5NCwyMjIsIngiLDFd.jpg,vitiligo
vitiligo_Crop-0350_0300vitiligo-33__ProtectWyJQcm90ZWN0Il0_FocusFillWzI5NCwyMjIsIngiLDFd.jpg,vitiligo
vitiligo_Crop-0350_0300vitiligo-44__ProtectWyJQcm90ZWN0Il0_FocusFillWzI5NCwyMjIsInkiLDExMF0.jpg,vitiligo
vitiligo_Crop-0350_0300vitiligo1__ProtectWyJQcm90ZWN0Il0_FocusFillWzI5NCwyMjIsIngiLDFd.jpg,vitiligo
vitiligo_Crop-0350_0300vitiligo4__ProtectWyJQcm90ZWN0Il0_FocusFillWzI5NCwyMjIsIngiLDFd.jpg,vitiligo
vitiligo_Crop-0350_100400vitiligo-44__ProtectWyJQcm90ZWN0Il0_FocusFillWzI5NCwyMjIsInkiLDExMF0.jpg,vitiligo
vitiligo_Crop-0350_100400vitiligo-51__ProtectWyJQcm90ZWN0Il0_FocusFillWzI5NCwyMjIsIngiLDFd.jpg,vitiligo
